Uniprot ID,Protein Name,Gene Name,Function
P00533,Epidermal growth factor receptor,EGFR,"Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses (PubMed:2790960, PubMed:10805725, PubMed:27153536). Known ligands include EGF, TGFA/TGF-alpha, AREG, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF (PubMed:2790960, PubMed:7679104, PubMed:8144591, PubMed:9419975, PubMed:15611079, PubMed:12297049, PubMed:27153536, PubMed:20837704). Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates at least 4 major downstream signaling cascades including the RAS-RAF-MEK-ERK, PI3 kinase-AKT, PLCgamma-PKC and STATs modules (PubMed:27153536). May also activate the NF-kappa-B signaling cascade (PubMed:11116146). Also directly phosphorylates other proteins like RGS16, activating its GTPase activity and probably coupling the EGF receptor signaling to the G protein-coupled receptor signaling (PubMed:11602604). Also phosphorylates MUC1 and increases its interaction with SRC and CTNNB1/beta-catenin (PubMed:11483589). Positively regulates cell migration via interaction with CCDC88A/GIV which retains EGFR at the cell membrane following ligand stimulation, promoting EGFR signaling which triggers cell migration (PubMed:20462955). Plays a role in enhancing learning and memory performance (By similarity).By similarity"
Q16270,Insulin-like growth factor-binding protein 7,IGFBP7,Binds IGF-I and IGF-II with a relatively low affinity. Stimulates prostacyclin (PGI2) production. Stimulates cell adhesion.2 Publications
Q9NPY3,Complement component C1q receptor,CD93,"Receptor (or element of a larger receptor complex) for C1q, mannose-binding lectin (MBL2) and pulmonary surfactant protein A (SPA). May mediate the enhancement of phagocytosis in monocytes and macrophages upon interaction with soluble defense collagens. May play a role in intercellular adhesion."
O95998,Interleukin-18-binding protein,IL18BP,Isoform A binds to IL-18 and inhibits its activity. Functions as an inhibitor of the early TH1 cytokine response.3 Publications
P02452,Collagen alpha-1(I) chain,COL1A1,Type I collagen is a member of group I collagen (fibrillar forming collagen).
Q15166,Serum paraoxonase/lactonase 3,PON3,Has low activity towards the organophosphate paraxon and aromatic carboxylic acid esters. Rapidly hydrolyzes lactones such as statin prodrugs (e.g. lovastatin). Hydrolyzes aromatic lactones and 5- or 6-member ring lactones with aliphatic substituents but not simple lactones or those with polar substituents.1 Publication
Q9UBR2,Cathepsin Z,CTSZ,Exhibits carboxy-monopeptidase as well as carboxy-dipeptidase activity (PubMed:10504234). Capable of producing kinin potentiating peptides (By similarity).By similarity
P08254,Stromelysin-1,MMP3,"Can degrade fibronectin, laminin, gelatins of type I, III, IV, and V; collagens III, IV, X, and IX, and cartilage proteoglycans. Activates procollagenase."
Q99969,Retinoic acid receptor responder protein 2,RARRES2,"Adipocyte-secreted protein (adipokine) that regulates adipogenesis, metabolism and inflammation through activation of the chemokine-like receptor 1 (CMKLR1). Its other ligands include G protein-coupled receptor 1 (GPR1) and chemokine receptor-like 2 (CCRL2). Positively regulates adipocyte differentiation, modulates the expression of adipocyte genes involved in lipid and glucose metabolism and might play a role in angiogenesis, a process essential for the expansion of white adipose tissue. Also acts as a proinflammatory adipokine, causing an increase in secretion of proinflammatory and prodiabetic adipokines, which further impair adipose tissue metabolic function and have negative systemic effects including impaired insulin sensitivity, altered glucose and lipid metabolism, and a decrease in vascular function in other tissues. Can have both pro- and anti-inflammatory properties depending on the modality of enzymatic cleavage by different classes of proteases. Acts as a chemotactic factor for leukocyte populations expressing CMKLR1, particularly immature plasmacytoid dendritic cells, but also immature myeloid DCs, macrophages and natural killer cells. Exerts an anti-inflammatory role by preventing TNF/TNFA-induced VCAM1 expression and monocytes adhesion in vascular endothelial cells. The effect is mediated via inhibiting activation of NF-kappa-B and CRK/p38 through stimulation of AKT1/NOS3 signaling and nitric oxide production. Its dual role in inflammation and metabolism might provide a link between chronic inflammation and obesity, as well as obesity-related disorders such as type 2 diabetes and cardiovascular disease. Exhibits an antimicrobial function in the skin.7 Publications"
P13598,Intercellular adhesion molecule 2,ICAM2,"ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). ICAM2 may play a role in lymphocyte recirculation by blocking LFA-1-dependent cell adhesion. It mediates adhesive interactions important for antigen-specific immune response, NK-cell mediated clearance, lymphocyte recirculation, and other cellular interactions important for immune response and surveillance."
Q92876,Kallikrein-6,KLK6,"Serine protease which exhibits a preference for Arg over Lys in the substrate P1 position and for Ser or Pro in the P2 position. Shows activity against amyloid precursor protein, myelin basic protein, gelatin, casein and extracellular matrix proteins such as fibronectin, laminin, vitronectin and collagen. Degrades alpha-synuclein and prevents its polymerization, indicating that it may be involved in the pathogenesis of Parkinson disease and other synucleinopathies. May be involved in regulation of axon outgrowth following spinal cord injury. Tumor cells treated with a neutralizing KLK6 antibody migrate less than control cells, suggesting a role in invasion and metastasis.6 Publications"
P04085,Platelet-derived growth factor subunit A,PDGFA,"Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis. Potent mitogen for cells of mesenchymal origin. Required for normal lung alveolar septum formation during embryogenesis, normal development of the gastrointestinal tract, normal development of Leydig cells and spermatogenesis. Required for normal oligodendrocyte development and normal myelination in the spinal cord and cerebellum. Plays an important role in wound healing. Signaling is modulated by the formation of heterodimers with PDGFB (By similarity).By similarity"
P19438,Tumor necrosis factor receptor superfamily member 1A,TNFRSF1A,Receptor for TNFSF2/TNF-alpha and homotrimeric TNFSF1/lymphotoxin-alpha. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. Contributes to the induction of non-cytocidal TNF effects including anti-viral state and activation of the acid sphingomyelinase.
P18065,Insulin-like growth factor-binding protein 2,IGFBP2,Inhibits IGF-mediated growth and developmental rates. IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors.1 Publication
P04275,von Willebrand factor,VWF,"Important in the maintenance of hemostasis, it promotes adhesion of platelets to the sites of vascular injury by forming a molecular bridge between sub-endothelial collagen matrix and platelet-surface receptor complex GPIb-IX-V. Also acts as a chaperone for coagulation factor VIII, delivering it to the site of injury, stabilizing its heterodimeric structure and protecting it from premature clearance from plasma."
P16284,Platelet endothelial cell adhesion molecule,PECAM1,"Cell adhesion molecule which is required for leukocyte transendothelial migration (TEM) under most inflammatory conditions (PubMed:19342684, PubMed:17580308). Tyr-690 plays a critical role in TEM and is required for efficient trafficking of PECAM1 to and from the lateral border recycling compartment (LBRC) and is also essential for the LBRC membrane to be targeted around migrating leukocytes (PubMed:19342684). Trans-homophilic interaction may play a role in endothelial cell-cell adhesion via cell junctions (PubMed:27958302). Heterophilic interaction with CD177 plays a role in transendothelial migration of neutrophils (PubMed:17580308). Homophilic ligation of PECAM1 prevents macrophage-mediated phagocytosis of neighboring viable leukocytes by transmitting a detachment signal (PubMed:12110892). Promotes macrophage-mediated phagocytosis of apoptotic leukocytes by tethering them to the phagocytic cells; PECAM1-mediated detachment signal appears to be disabled in apoptotic leukocytes (PubMed:12110892). Modulates bradykinin receptor BDKRB2 activation (PubMed:18672896). Regulates bradykinin- and hyperosmotic shock-induced ERK1/2 activation in endothelial cells (PubMed:18672896). Induces susceptibility to atherosclerosis (By similarity).By similarity"
O15467,C-C motif chemokine 16,CCL16,"Shows chemotactic activity for lymphocytes and monocytes but not neutrophils. Also shows potent myelosuppressive activity, suppresses proliferation of myeloid progenitor cells. Recombinant SCYA16 shows chemotactic activity for monocytes and THP-1 monocytes, but not for resting lymphocytes and neutrophils. Induces a calcium flux in THP-1 cells that were desensitized by prior expression to RANTES."
Q9HCN6,Platelet glycoprotein VI,GP6,"Collagen receptor involved in collagen-induced platelet adhesion and activation. Plays a key role in platelet procoagulant activity and subsequent thrombin and fibrin formation. This procoagulant function may contribute to arterial and venous thrombus formation. The signaling pathway involves the FcR gamma-chain, the Src kinases (likely FYN or LYN) and SYK, the adapter protein LAT and leads to the activation of PLCG2.2 Publications"
A4D1B5,Gamma-secretase-activating protein,GSAP,"Regulator of gamma-secretase activity, which specifically activates the production of amyloid-beta protein (amyloid-beta protein 40 and amyloid-beta protein 42), without affecting the cleavage of other gamma-secretase targets such has Notch. The gamma-secretase complex is an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors and APP (amyloid-beta precursor protein). Specifically promotes the gamma-cleavage of APP CTF-alpha (also named APP-CTF) by the gamma-secretase complex to generate amyloid-beta, while it reduces the epsilon-cleavage of APP CTF-alpha, leading to a low production of AICD.1 Publication"
O00220,Tumor necrosis factor receptor superfamily member 10A,TNFRSF10A,Receptor for the cytotoxic ligand TNFSF10/TRAIL (PubMed:26457518). The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis (PubMed:19090789). Promotes the activation of NF-kappa-B (PubMed:9430227).2 Publications
